n_components,knn_neighbors,knn_score
1,1,0.1111111111111111
1,2,0.26666666666666666
1,3,0.28888888888888886
1,4,0.24444444444444444
1,5,0.24444444444444444
1,6,0.2
2,1,0.37777777777777777
2,2,0.4222222222222222
2,3,0.4
2,4,0.5333333333333333
2,5,0.5555555555555556
2,6,0.5333333333333333
3,1,0.5111111111111111
3,2,0.5333333333333333
3,3,0.6222222222222222
3,4,0.5777777777777777
3,5,0.6222222222222222
3,6,0.6
4,1,0.6888888888888889
4,2,0.6888888888888889
4,3,0.7111111111111111
4,4,0.7111111111111111
4,5,0.7777777777777778
4,6,0.7333333333333333
5,1,0.8222222222222222
5,2,0.8222222222222222
5,3,0.8
5,4,0.8
5,5,0.8
5,6,0.8222222222222222
6,1,0.7555555555555555
6,2,0.7777777777777778
6,3,0.8222222222222222
6,4,0.8222222222222222
6,5,0.8
6,6,0.7777777777777778
7,1,0.7777777777777778
7,2,0.7777777777777778
7,3,0.8
7,4,0.8222222222222222
7,5,0.8222222222222222
7,6,0.8222222222222222
8,1,0.8222222222222222
8,2,0.9111111111111111
8,3,0.8666666666666667
8,4,0.8888888888888888
8,5,0.8888888888888888
8,6,0.8888888888888888
9,1,0.8666666666666667
9,2,0.9333333333333333
9,3,0.8666666666666667
9,4,0.9111111111111111
9,5,0.8666666666666667
9,6,0.8888888888888888
10,1,0.8888888888888888
10,2,0.9333333333333333
10,3,0.9111111111111111
10,4,0.9333333333333333
10,5,0.8888888888888888
10,6,0.9111111111111111
11,1,0.9111111111111111
11,2,0.9555555555555556
11,3,0.9111111111111111
11,4,0.9111111111111111
11,5,0.8888888888888888
11,6,0.9111111111111111
12,1,0.9555555555555556
12,2,0.9777777777777777
12,3,0.8888888888888888
12,4,0.8888888888888888
12,5,0.8666666666666667
12,6,0.8888888888888888
13,1,0.9555555555555556
13,2,0.9777777777777777
13,3,0.9555555555555556
13,4,0.9555555555555556
13,5,0.8666666666666667
13,6,0.9111111111111111
14,1,0.9555555555555556
14,2,0.9777777777777777
14,3,0.9333333333333333
14,4,0.9555555555555556
14,5,0.8888888888888888
14,6,0.8888888888888888
15,1,0.9777777777777777
15,2,0.9777777777777777
15,3,0.9111111111111111
15,4,0.9111111111111111
15,5,0.8444444444444444
15,6,0.8666666666666667
16,1,0.9555555555555556
16,2,0.9555555555555556
16,3,0.9333333333333333
16,4,0.9333333333333333
16,5,0.8666666666666667
16,6,0.8666666666666667
17,1,0.9555555555555556
17,2,0.9333333333333333
17,3,0.9111111111111111
17,4,0.9333333333333333
17,5,0.8888888888888888
17,6,0.8888888888888888
18,1,0.9333333333333333
18,2,0.9333333333333333
18,3,0.9111111111111111
18,4,0.9111111111111111
18,5,0.8666666666666667
18,6,0.8444444444444444
19,1,0.9333333333333333
19,2,0.9333333333333333
19,3,0.9111111111111111
19,4,0.9333333333333333
19,5,0.9333333333333333
19,6,0.8888888888888888
20,1,0.9333333333333333
20,2,0.9555555555555556
20,3,0.9333333333333333
20,4,0.9333333333333333
20,5,0.9333333333333333
20,6,0.9111111111111111
21,1,0.9333333333333333
21,2,0.9555555555555556
21,3,0.9333333333333333
21,4,0.9555555555555556
21,5,0.9555555555555556
21,6,0.9555555555555556
22,1,0.9111111111111111
22,2,0.9555555555555556
22,3,0.9555555555555556
22,4,0.9333333333333333
22,5,0.9555555555555556
22,6,0.9555555555555556
23,1,0.9111111111111111
23,2,0.9555555555555556
23,3,0.9555555555555556
23,4,0.9555555555555556
23,5,0.9333333333333333
23,6,0.9111111111111111
24,1,0.9111111111111111
24,2,0.9333333333333333
24,3,0.9555555555555556
24,4,0.9555555555555556
24,5,0.9333333333333333
24,6,0.9111111111111111
25,1,0.9111111111111111
25,2,0.9333333333333333
25,3,0.9555555555555556
25,4,0.9333333333333333
25,5,0.8888888888888888
25,6,0.8666666666666667
26,1,0.9111111111111111
26,2,0.9555555555555556
26,3,0.9555555555555556
26,4,0.9333333333333333
26,5,0.9111111111111111
26,6,0.9111111111111111
27,1,0.9333333333333333
27,2,0.9555555555555556
27,3,0.9555555555555556
27,4,0.9333333333333333
27,5,0.9111111111111111
27,6,0.9111111111111111
28,1,0.9333333333333333
28,2,0.9555555555555556
28,3,0.9555555555555556
28,4,0.9333333333333333
28,5,0.9333333333333333
28,6,0.8888888888888888
29,1,0.9111111111111111
29,2,0.9333333333333333
29,3,0.9333333333333333
29,4,0.9555555555555556
29,5,0.8888888888888888
29,6,0.8444444444444444
30,1,0.8888888888888888
30,2,0.9333333333333333
30,3,0.8666666666666667
30,4,0.8888888888888888
30,5,0.9111111111111111
30,6,0.8222222222222222
31,1,0.8888888888888888
31,2,0.9111111111111111
31,3,0.8888888888888888
31,4,0.9111111111111111
31,5,0.8666666666666667
31,6,0.8666666666666667
32,1,0.9111111111111111
32,2,0.9111111111111111
32,3,0.8666666666666667
32,4,0.9111111111111111
32,5,0.8888888888888888
32,6,0.8222222222222222
33,1,0.9333333333333333
33,2,0.9333333333333333
33,3,0.8888888888888888
33,4,0.8888888888888888
33,5,0.8666666666666667
33,6,0.8444444444444444
34,1,0.9111111111111111
34,2,0.9333333333333333
34,3,0.8888888888888888
34,4,0.9111111111111111
34,5,0.8888888888888888
34,6,0.8666666666666667
35,1,0.9111111111111111
35,2,0.9333333333333333
35,3,0.8666666666666667
35,4,0.8888888888888888
35,5,0.8666666666666667
35,6,0.8666666666666667
36,1,0.9111111111111111
36,2,0.9333333333333333
36,3,0.8666666666666667
36,4,0.8888888888888888
36,5,0.8666666666666667
36,6,0.8444444444444444
37,1,0.8888888888888888
37,2,0.9111111111111111
37,3,0.8444444444444444
37,4,0.8444444444444444
37,5,0.8
37,6,0.8
38,1,0.8888888888888888
38,2,0.9111111111111111
38,3,0.8444444444444444
38,4,0.8444444444444444
38,5,0.8
38,6,0.8222222222222222
39,1,0.8666666666666667
39,2,0.8888888888888888
39,3,0.8444444444444444
39,4,0.8888888888888888
39,5,0.8444444444444444
39,6,0.8222222222222222
40,1,0.8666666666666667
40,2,0.8666666666666667
40,3,0.8444444444444444
40,4,0.8666666666666667
40,5,0.8444444444444444
40,6,0.8222222222222222
41,1,0.8444444444444444
41,2,0.8888888888888888
41,3,0.8444444444444444
41,4,0.8444444444444444
41,5,0.8222222222222222
41,6,0.7555555555555555
42,1,0.8444444444444444
42,2,0.8444444444444444
